No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
9;;RUE;DES BOULETS;2;26,98;;Appartement
11;;AV;DU BEL AIR;3;64,38;;Appartement
16;;RUE;LACUEE;2;48,65;;Appartement
120;;RUE;DU MOULIN DES PRES;2;47,03;;Appartement
45;;RUE;BOULARD;3;52,28;;Appartement
41;;RUE;JONQUOY;4;77,97;;Appartement
12;;RUE;JONQUOY;3;54,56;;Appartement
10;;RUE;FIRMIN GILLOT;1;10,8;;Appartement
37;;RUE;FONDARY;3;55,63;;Appartement
36;;AV;GEORGES MANDEL;8;360,95;;Appartement
15;;RUE;DUFRENOY;1;30,02;;Appartement
11;;RUE;DE L ARC DE TRIOMPHE;2;50,22;;Appartement
132;;RUE;DE TOCQUEVILLE;1;28,35;;Appartement
32;;RUE;LEGENDRE;3;48,88;;Appartement
17;;RUE;DE CHEROY;7;131,25;;Appartement
7;;RUE;NOLLET;3;39,34;;Appartement
3;;RUE;BRIDAINE;1;22,84;;Appartement
98;;RUE;NOLLET;4;83,25;;Appartement
75;;RUE;DOUDEAUVILLE;1;13,15;;Appartement
37;;RUE;DE LA PLAINE;2;46,01;;Appartement
2;;SQ;BRUSSEAU;2;39,6;;Appartement
24;;RUE;GRANDE;2;45,45;;Appartement
1;;RUE;DE BOURGOGNE;3;60,7;;Appartement
3;;PL;PAUL EMILE VICTOR;3;55,2;;Appartement
120;;ALL;DE PLEIN CIEL;5;100,8;;Appartement
41;;BD;DE L ALMONT;1;25,45;;Appartement
38;;RUE;DE LA CHARBONNIERE;1;40,35;;Appartement
5929;B;CITE;DES GUETTES;4;99,42;;Appartement
17;;RUE;DE LA MARNE;5;118,56;;Maison
4;;;RES LA FONTAINE SAINT MARC;3;66,42;;Appartement
2;;QUAI;DE L AMIRAL MOUCHEZ;3;75,16;;Appartement
1;;AV;MONTAIGNE;3;56,83;;Appartement
57;;AV;DE SAINT GERMAIN;1;27,01;;Appartement
57;;AV;DE SAINT GERMAIN;5;111;;Appartement
26;;ALL;CLAUDE MONET;2;52,53;;Appartement
22;;RUE;DU GEN DE GAULLE;4;55,03;;Appartement
2;;AV;P MARTIN LUTHER KING;5;88,78;;Appartement
6;;AV;JEAN JAURES;1;17,78;;Appartement
3;;RUE;REMONT;5;98,99;;Maison
23;;RUE;SAINT GERMAIN;1;19,97;;Appartement
77;;RUE;DE MAYOCQ;4;87,02;;Maison
30;;RUE;DE LA COMEDIE;2;48,4;;Appartement
183;;BD;DE PIERREPLANE;1;25,29;;Appartement
22;;AV;DU PORT;3;68,46;;Appartement
184;;AV;DU CARMEL;3;57,68;;Appartement
57;;RUE;DU DOC PACCARD;3;63,17;;Appartement
27;;BD;DE L'OCEAN;3;52,9;;Appartement
22;;RUE;PIERRE LEROUX;2;44,4;;Appartement
636;;;CITE DU DOCTEUR BARRIERE;3;65,74;;Appartement
10;;RUE;MARIE MARVINGT;3;61,74;;Appartement
15;;RUE;DES AULNES;3;70,19;;Appartement
4;D;RUE;CAROLINE RIER;3;66,05;;Appartement
2;;RUE;DES FRANCS BOURGEOIS;5;89,43;;Maison
38;;BD;DE FONTAINEBLEAU;3;71,64;;Appartement
69;;AV;DES FAUVETTES;5;107,15;;Maison
34;;AV;FRANCOIS MOLE;4;87,01;;Appartement
49;;AV;D ARGENTEUIL;3;52,9;;Appartement
81;;RUE;DU BAC;3;63,2;;Appartement
97;;RUE;DU CHATEAU;5;122,8;;Maison
21;;AV;DE LA REDOUTE;2;53,39;;Appartement
10;;RUE;GEORGES GUYNEMER;1;25,5;;Appartement
221;;AV;D ARGENTEUIL;2;27,73;;Appartement
35;;RUE;RASPAIL;3;56,21;;Appartement
867;;CRS;AQUITAINE;4;96,33;;Appartement
56;;BD;DE LA REPUBLIQUE;2;49,42;;Appartement
2;;RUE;DE L ANCIENNE MAIRIE;2;51,34;;Appartement
35;;BD;D AUTEUIL;5;149,71;;Appartement
10;;AV;ANATOLE FRANCE;2;44,5;;Appartement
3;;RUE;DES ROSES;1;23,95;;Appartement
13;;RUE;VILLEBOIS MAREUIL;3;76,07;;Maison
12;;RUE;DES ACACIAS;3;70;;Maison
